STT,symbol,sector
1,ACB,Financial Services
2,BID,Financial Services
3,BVH,Financial Services
4,CTG,Financial Services
5,FPT,Technology
6,GAS,Energy
7,GVR,Basic Materials
8,HDB,Financial Services
9,HPG,Basic Materials
10,KDH,Real Estate
11,MBB,Financial Services
12,MSN,Consumer Staples
13,MWG,Consumer Discretionary
14,NVL,Real Estate
15,PDR,Real Estate
16,PLX,Energy
17,PNJ,Consumer Discretionary
18,POW,Energy
19,SAB,Consumer Staples
20,SSI,Financial Services
21,STB,Financial Services
22,TCB,Financial Services
23,TPB,Financial Services
24,VCB,Financial Services
25,VHM,Real Estate
26,VIC,Real Estate
27,VJC,Industrials
28,VNM,Consumer Staples
29,VPB,Financial Services
30,VRE,Real Estate
